Learned Formula Size,Sample size,Encoding Time,Solving Time,Formula Type,Learned Formula,Verification,Sample,Solver,Model Type,Size Bound,Original Formula,Total Time,Players,Propositions
6,50,67.98,6.62,atl,<>G((<1>G(p) | (p -> q))),True,test_suite/large_cgs/CGS/f:03-nm:025-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),74.6,2,2
,60,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:030-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
3,10,60.54,1.34,atl,"<>G(<0,1>F(q))",True,test_suite/large_cgs/CGS/f:05-nm:005-sm:023.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",61.89,2,2
,40,0,0,atl,,,test_suite/large_cgs/CGS/f:03-nm:020-sm:023.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),0,2,2
4,20,112.21,3.97,atl,<>G((p -> <1>X(p))),True,test_suite/large_cgs/CGS/f:04-nm:010-sm:013.sp,msat,cgs,15,<>G((p -> <1>G(p))),116.18,2,2
2,10,1.06,0.03,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:005-sm:008.sp,msat,cgs,15,<1>X(p),1.1,2,2
4,40,123.94,2.2,atl,"(! <0,1>X(<0>F(p)))",True,test_suite/large_cgs/CGS/f:07-nm:020-sm:008.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),126.14,2,3
,50,0,0,atl,,,test_suite/large_cgs/CGS/f:06-nm:025-sm:018.sp,msat,cgs,15,<>G((p -> <1>X(q))),0,2,2
5,30,10.59,0.4,atl,"<>G((p -> <0,1>X(q)))",True,test_suite/large_cgs/CGS/f:05-nm:015-sm:003.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",10.98,2,2
6,60,101.91,4.53,atl,<>G(((p -> q) | <1>G(p))),True,test_suite/large_cgs/CGS/f:03-nm:030-sm:003.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),106.44,2,2
2,30,0.91,0.02,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:015-sm:003.sp,msat,cgs,15,<1>X(p),0.93,2,2
3,60,10.27,0.09,atl,<>G((! p)),True,test_suite/large_cgs/CGS/f:07-nm:030-sm:003.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),10.37,2,3
2,50,220.81,1.16,atl,<0>F(p),True,test_suite/large_cgs/CGS/f:02-nm:025-sm:018.sp,msat,cgs,15,<0>F(p),221.97,2,2
4,10,7.77,0.3,atl,(<1>F(p) -> <1>X(p)),True,test_suite/large_cgs/CGS/f:05-nm:005-sm:008.sp,msat,cgs,15,"<>G((p -> <0,1>F(q)))",8.07,2,2
6,40,368.0,229.45,atl,<>G((<1>G(p) | (p -> q))),True,test_suite/large_cgs/CGS/f:03-nm:020-sm:008.sp,msat,cgs,15,<>G(((p & (! q)) -> <1>G(p))),597.45,2,2
2,10,18.64,0.4,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:005-sm:023.sp,msat,cgs,15,<1>X(p),19.05,2,2
3,21,271.26,4.19,atl,"(! <0,1>F(p))",True,test_suite/large_cgs/CGS/f:07-nm:020-sm:023.sp,msat,cgs,15,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),275.45,2,3
2,20,66.14,0.84,atl,<1>X(p),True,test_suite/large_cgs/CGS/f:01-nm:010-sm:023.sp,msat,cgs,15,<1>X(p),66.98,2,2
