Sample size,Solver,Propositions,Players,Size Bound,Encoding Time,Total Time,Verification,Model Type,Sample,Solving Time,Learned Formula,Learned Formula Size,Original Formula,Formula Type
30,msat,2,2,15,0.5,0.52,True,cgs,test_suite/large_cgs/CGS/f:02-nm:015-sm:003.sp,0.02,<0>F(p),2,<0>F(p),atl
60,msat,2,2,15,17.39,17.74,True,cgs,test_suite/large_cgs/CGS/f:04-nm:030-sm:003.sp,0.35,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
50,msat,2,2,15,39.38,47.79,True,cgs,test_suite/large_cgs/CGS/f:03-nm:025-sm:003.sp,8.41,<>G(((p -> <1>G(p)) | q)),6,<>G(((p & (! q)) -> <1>G(p))),atl
60,msat,2,2,15,1024.53,1149.93,True,cgs,test_suite/large_cgs/CGS/f:06-nm:030-sm:018.sp,125.4,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
10,msat,2,2,15,12.79,13.75,True,cgs,test_suite/large_cgs/CGS/f:05-nm:005-sm:023.sp,0.96,"<>G(<0,1>F(q))",3,"<>G((p -> <0,1>F(q)))",atl
40,msat,2,2,15,0,0,,cgs,test_suite/large_cgs/CGS/f:03-nm:020-sm:023.sp,0,,,<>G(((p & (! q)) -> <1>G(p))),atl
20,msat,2,2,15,31.46,36.72,True,cgs,test_suite/large_cgs/CGS/f:04-nm:010-sm:013.sp,5.26,<>G((p -> <1>X(p))),4,<>G((p -> <1>G(p))),atl
10,msat,2,2,15,0.52,0.56,True,cgs,test_suite/large_cgs/CGS/f:01-nm:005-sm:008.sp,0.03,<1>X(p),2,<1>X(p),atl
40,msat,3,2,15,45.21,49.51,True,cgs,test_suite/large_cgs/CGS/f:07-nm:020-sm:008.sp,4.3,<>X((! <0>F(p))),4,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
50,msat,2,2,15,749.37,1039.97,True,cgs,test_suite/large_cgs/CGS/f:06-nm:025-sm:018.sp,290.6,<>G((p -> <1>X(q))),5,<>G((p -> <1>X(q))),atl
30,msat,2,2,15,6.04,6.46,True,cgs,test_suite/large_cgs/CGS/f:05-nm:015-sm:003.sp,0.41,"<>G((p -> <0,1>F(q)))",5,"<>G((p -> <0,1>F(q)))",atl
60,msat,2,2,15,58.33,72.95,True,cgs,test_suite/large_cgs/CGS/f:03-nm:030-sm:003.sp,14.61,<>G(((p -> <1>G(p)) | q)),6,<>G(((p & (! q)) -> <1>G(p))),atl
30,msat,2,2,15,0.66,0.68,True,cgs,test_suite/large_cgs/CGS/f:01-nm:015-sm:003.sp,0.02,<1>X(p),2,<1>X(p),atl
60,msat,3,2,15,5.81,5.91,True,cgs,test_suite/large_cgs/CGS/f:07-nm:030-sm:003.sp,0.1,"(! <0,1>F(p))",3,<>G((p -> <0>X((r & (<1>X(q) & <1>G((! q))))))),atl
50,msat,2,2,15,42.77,43.7,True,cgs,test_suite/large_cgs/CGS/f:02-nm:025-sm:018.sp,0.93,<0>F(p),2,<0>F(p),atl
10,msat,2,2,15,3.69,4.31,True,cgs,test_suite/large_cgs/CGS/f:05-nm:005-sm:008.sp,0.61,(<1>F(p) -> <1>X(p)),4,"<>G((p -> <0,1>F(q)))",atl
40,msat,2,2,15,153.61,420.14,True,cgs,test_suite/large_cgs/CGS/f:03-nm:020-sm:008.sp,266.52,<>G((p -> (<1>G(p) | q))),6,<>G(((p & (! q)) -> <1>G(p))),atl
